Subject,Label,day_0,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15
0.0,0.0,-1.0,0.038438715040683746,0.031986065208911896,0.048837512731552124,0.04648242145776749,0.033163487911224365,0.0440821647644043,0.13994720578193665,-1.0,0.2042035311460495,0.1266327053308487,0.04749684035778046,0.04106944054365158,0.04862126708030701,0.049861542880535126,-1.0
1.0,0.0,-1.0,0.03149501234292984,-1.0,0.020618928596377373,0.02031548134982586,0.015529805794358253,0.010203417390584946,0.0666036307811737,0.0412965789437294,0.18021972477436066,-1.0,0.11496005952358246,-1.0,0.061762288212776184,0.08892284333705902,0.059059515595436096
2.0,0.0,-1.0,0.06341065466403961,0.056094348430633545,-1.0,-1.0,0.05546543747186661,0.06920849531888962,-1.0,-1.0,-1.0,0.1609925627708435,0.09196009486913681,0.04528803378343582,0.054805412888526917,0.048721447587013245,0.025463193655014038
3.0,0.0,-1.0,0.01067507453262806,0.009824693202972412,0.005186883267015219,0.015253404155373573,0.03531143441796303,0.055305980145931244,0.1453888863325119,-1.0,0.21116235852241516,0.1250666081905365,0.05456950515508652,0.04286359250545502,0.01706266775727272,0.023899558931589127,0.013921726495027542
4.0,0.0,-1.0,0.0404910109937191,-1.0,-1.0,0.047110576182603836,-1.0,-1.0,-1.0,0.07827769219875336,-1.0,0.08941186964511871,0.08783794939517975,0.08069686591625214,0.08057756721973419,0.037650082260370255,-1.0
5.0,0.0,-1.0,0.014299450442194939,0.016463207080960274,0.011227034032344818,0.012633958831429482,0.011970304884016514,0.012537045404314995,-1.0,0.04599567502737045,0.06853963434696198,0.039381250739097595,0.026772169396281242,0.014780865982174873,0.017513975501060486,-1.0,0.019924720749258995
6.0,0.0,-1.0,0.009578138589859009,0.07337287068367004,0.025940081104636192,-1.0,0.038530655205249786,0.07639679312705994,0.10390497744083405,0.10642075538635254,0.09166701138019562,0.09132328629493713,0.035172197967767715,0.047889214009046555,-1.0,0.0469970703125,-1.0
7.0,0.0,-1.0,0.0062029422260820866,-1.0,0.011720852926373482,0.004802831448614597,0.006472751498222351,0.0048909056931734085,0.01077849417924881,0.049886129796504974,0.06364107131958008,0.017088061198592186,0.005378116853535175,0.0026685285847634077,0.0037604758981615305,0.0018758898368105292,-1.0
8.0,0.0,-1.0,0.020768584683537483,0.059395018965005875,0.02194303274154663,0.04446965828537941,0.029607929289340973,0.14888565242290497,0.1068367063999176,0.09697812050580978,0.061748504638671875,0.09488818049430847,0.07202167063951492,0.025844350457191467,0.046705372631549835,0.019689448177814484,0.014432139694690704
9.0,0.0,-1.0,0.05685125291347504,-1.0,0.09761480242013931,-1.0,0.05415388196706772,0.06602101027965546,0.09596502780914307,0.13155052065849304,-1.0,0.1274842917919159,-1.0,0.1499650776386261,-1.0,0.0830112174153328,0.08089163899421692
10.0,1.0,-1.0,0.051786869764328,0.024002961814403534,-1.0,-1.0,-1.0,0.04623134061694145,0.018382718786597252,0.016738638281822205,0.01683291420340538,0.012632066383957863,0.017567165195941925,0.037813782691955566,0.036960698664188385,-1.0,-1.0
11.0,1.0,-1.0,-1.0,-1.0,0.008822795934975147,0.02368251234292984,0.030025018379092216,0.042489759624004364,0.052315156906843185,0.03530034422874451,0.02358125150203705,0.024378575384616852,0.014830444008111954,-1.0,0.0344603955745697,-1.0,0.025429654866456985
12.0,1.0,-1.0,-1.0,-1.0,0.035172417759895325,0.011492901481688023,-1.0,0.011100373230874538,0.006032950710505247,0.00864484254270792,0.03462323918938637,0.02005072496831417,0.10933166742324829,0.006925984285771847,0.009840184822678566,0.02107120305299759,0.00422926340252161
13.0,1.0,-1.0,0.019466828554868698,0.06563356518745422,0.03599265217781067,0.07095720618963242,-1.0,-1.0,0.01628490351140499,0.015134301036596298,0.024479424580931664,0.01566619798541069,-1.0,-1.0,0.04477410018444061,0.029918190091848373,-1.0
14.0,1.0,-1.0,0.014479590579867363,-1.0,0.012921378016471863,-1.0,0.01334543526172638,-1.0,0.010117825120687485,0.01580643095076084,0.0438198484480381,0.009737061336636543,0.011853732168674469,-1.0,0.023191362619400024,0.012231647036969662,0.015394823625683784
15.0,1.0,-1.0,0.025022882968187332,0.04355263710021973,0.041957370936870575,0.03615368902683258,0.048377905040979385,0.020897552371025085,-1.0,0.02780974470078945,0.023877760395407677,-1.0,0.06634615361690521,0.02510351501405239,0.027409590780735016,-1.0,-1.0
16.0,1.0,-1.0,0.005744858179241419,0.016938183456659317,0.11028572916984558,0.12030505388975143,0.09549224376678467,0.09384829550981522,0.04223569855093956,0.004089689347893,0.0037060678005218506,0.006415037903934717,0.007183257956057787,0.003105328418314457,0.004624722525477409,0.009752416983246803,0.0028604459948837757
17.0,1.0,-1.0,0.020504578948020935,0.0490427203476429,0.05053163692355156,0.01615089550614357,0.03808952495455742,-1.0,-1.0,0.007023350801318884,0.009432466700673103,0.045180436223745346,0.04620923846960068,0.03630836680531502,-1.0,-1.0,0.023392464965581894
18.0,1.0,-1.0,0.020052317529916763,0.03417740762233734,-1.0,0.04680740833282471,0.04235429689288139,0.023776434361934662,0.018216051161289215,0.015163583680987358,0.020283477380871773,0.030699001625180244,-1.0,0.022694868966937065,0.020308230072259903,0.056461166590452194,0.025937575846910477
19.0,1.0,0.07016430795192719,-1.0,0.09626879543066025,-1.0,0.10354433953762054,-1.0,-1.0,0.07027595490217209,0.022662265226244926,0.03375846892595291,0.050414714962244034,0.03586961328983307,-1.0,-1.0,0.019396979361772537,-1.0
